Generation	Fitness	Shooting fitness	Aiming fitness
1	52.548252	5.500000	47.048252
2	55.790650	2.500000	53.290650
3	55.018274	4.500000	50.518274
4	58.392329	5.000000	53.392329
5	56.125722	4.500000	51.625722
6	56.832629	8.000000	48.832629
7	60.207302	4.500000	55.707302
8	62.949049	6.999999	55.949049
9	64.176851	0.000000	64.176851
10	61.242417	0.000000	61.242417
11	66.310578	11.000000	55.310578
12	75.692559	14.000000	61.692559
13	67.602451	8.000000	59.602451
14	68.665793	6.500000	62.165793
15	74.812903	11.000000	63.812903
16	77.103442	11.000000	66.103442
17	73.274380	10.000000	63.274380
18	73.726855	9.500000	64.226855
19	75.236390	9.500000	65.736390
20	76.947195	11.000000	65.947195
21	84.758452	19.500000	65.258452
22	85.603363	17.000000	68.603363
23	81.605645	16.500000	65.105645
24	85.694021	19.000000	66.694021
25	79.326972	13.500000	65.826972
26	87.103225	22.500000	64.603225
27	84.706623	19.500000	65.206623
28	90.889713	22.000000	68.889713
29	88.109911	21.000000	67.109911
30	81.701979	19.500000	62.201979
31	80.783892	20.000000	60.783893
32	89.409248	21.000000	68.409248
33	90.376833	21.000000	69.376833
34	93.645935	22.500000	71.145935
35	90.788535	22.000000	68.788535
36	90.622203	21.500000	69.122203
37	88.161810	20.500000	67.661810
38	85.270070	17.500000	67.770070
39	91.345163	22.000000	69.345163
40	90.264793	22.000000	68.264793
41	90.543820	20.000000	70.543820
42	90.241952	20.000000	70.241952
43	90.556013	19.000000	71.556013
44	94.612164	22.500000	72.112164
45	88.296670	18.500000	69.796670
46	95.974516	24.500000	71.474516
47	90.556976	20.500000	70.056976
48	85.308885	17.500000	67.808885
49	90.780568	20.500000	70.280568
50	86.975858	18.000000	68.975858
51	91.246583	21.000000	70.246583
52	88.661217	19.000000	69.661217
53	89.134961	18.000000	71.134961
54	93.729292	22.500000	71.229292
55	92.202238	21.500000	70.702238
56	92.302567	21.500000	70.802567
57	96.701028	24.000000	72.701028
58	94.244700	22.500000	71.744700
59	98.282811	25.000000	73.282811
60	96.797307	24.000000	72.797307
61	97.540827	25.000000	72.540827
62	96.439880	23.000000	73.439880
63	98.058661	25.500000	72.558661
64	93.524686	21.000000	72.524686
65	100.684338	28.000000	72.684338
66	95.961179	23.500000	72.461179
67	98.015979	25.500000	72.515979
68	97.711505	25.000000	72.711505
69	98.084674	26.000000	72.084674
70	100.242254	27.500000	72.742254
71	98.655174	26.000000	72.655174
72	101.574672	28.500000	73.074672
73	99.007434	26.500000	72.507434
74	100.345109	35.000000	65.345108
75	97.889046	25.500000	72.389046
76	98.056853	33.000000	65.056853
77	98.561918	26.000000	72.561918
78	100.036472	27.000000	73.036472
79	99.378428	35.000000	64.378428
80	97.849509	26.000000	71.849509
81	103.410866	31.000000	72.410866
82	104.617068	32.500000	72.117067
83	109.373037	44.499999	64.873037
84	109.382956	43.000000	66.382956
85	113.472207	40.500001	72.972206
86	113.288579	40.000000	73.288579
87	117.687646	45.000000	72.687646
88	111.804032	39.000000	72.804031
89	119.434918	46.499999	72.934919
90	113.592509	41.000000	72.592509
91	112.621642	39.500000	73.121643
92	112.574174	39.500000	73.074174
93	112.716940	40.000001	72.716939
94	117.365395	44.500001	72.865394
95	112.782434	40.000000	72.782434
96	113.863167	41.000000	72.863166
97	119.276798	45.500000	73.776798
98	119.683730	46.499999	73.183731
99	116.288847	44.000001	72.288847
100	112.185040	38.500000	73.685040
101	116.774782	43.000000	73.774782
102	118.122557	44.500000	73.622558
103	117.694150	44.500000	73.194150
104	119.173182	46.000001	73.173181
105	113.629162	40.500000	73.129163
106	114.487073	41.500001	72.987072
107	117.248962	44.000000	73.248963
108	115.905333	42.999999	72.905334
109	116.877124	43.000001	73.877123
110	115.790993	42.499999	73.290994
111	115.608155	41.999999	73.608156
112	117.601169	44.000000	73.601169
113	114.563518	41.500000	73.063518
114	115.773552	42.000000	73.773552
115	117.033686	43.500000	73.533686
116	119.200654	45.499999	73.700655
117	118.285419	44.500000	73.785418
118	119.811375	46.000001	73.811374
119	119.040594	45.000000	74.040594
120	114.069209	40.500000	73.569209
121	117.092617	43.499999	73.592617
122	119.773495	46.500000	73.273495
123	119.857682	46.000000	73.857683
124	118.716237	44.999999	73.716238
125	119.346981	45.500000	73.846981
126	117.021277	43.500001	73.521276
127	115.164895	41.500000	73.664894
128	116.583498	43.500000	73.083498
129	118.864886	45.500001	73.364885
130	115.990420	42.500000	73.490420
131	116.403478	43.500000	72.903478
132	117.663029	44.000000	73.663029
133	120.232619	46.500000	73.732619
134	117.352235	43.999999	73.352236
135	120.201543	46.499999	73.701545
136	119.049128	45.000000	74.049128
137	116.716108	43.500000	73.216108
138	122.019786	48.500000	73.519787
139	118.121803	44.500000	73.621803
140	124.477852	50.500000	73.977851
141	119.927829	46.000001	73.927828
142	118.784679	45.000000	73.784678
143	120.988556	47.499999	73.488557
144	122.062096	48.500000	73.562096
