  0 	  10640 	  8.1846%
  1 	  11996 	  9.2277%
  2 	  10142 	  7.8015%
  3 	  15080 	  11.6000%
  4 	  14748 	  11.3446%
  5 	  10413 	  8.0100%
  6 	  11222 	  8.6323%
  7 	  10205 	  7.8500%
  8 	   1820 	  1.4000%
  9 	   1783 	  1.3715%
 10 	   1776 	  1.3662%
 11 	   1837 	  1.4131%
 12 	   2012 	  1.5477%
 13 	   1531 	  1.1777%
 14 	   1789 	  1.3762%
 15 	   1788 	  1.3754%
 16 	    214 	  0.1646%
 17 	    266 	  0.2046%
 18 	    218 	  0.1677%
 19 	    112 	  0.0862%
 20 	    143 	  0.1100%
 21 	    114 	  0.0877%
 22 	    229 	  0.1762%
 23 	    240 	  0.1846%
 24 	    196 	  0.1508%
 25 	  19485 	  14.9885%
