Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	35.273150	1.250000	34.023150	232	231	0
2	36.227060	0.000000	36.227060	240	240	0
3	37.055653	12.500001	24.555652	215	205	4
4	32.212627	0.000000	32.212627	237	237	0
5	39.741767	0.000000	39.741767	0	0	32
6	32.450292	0.000000	32.450292	240	240	0
7	32.063814	0.000000	32.063814	244	244	0
8	41.056013	22.500000	18.556013	221	203	6
9	42.818590	0.000000	42.818590	0	0	16
10	40.510927	0.000000	40.510927	0	0	21
11	39.622610	0.000000	39.622610	30	30	13
12	43.953262	0.000000	43.953262	0	0	18
13	40.440374	15.000000	25.440373	239	227	1
14	39.848520	0.000000	39.848520	0	0	15
15	45.470627	15.000001	30.470627	240	228	0
16	36.888271	0.000000	36.888271	0	0	20
17	37.219146	0.000000	37.219146	60	60	20
18	42.878067	0.000000	42.878067	0	0	24
19	40.259362	12.500000	27.759362	240	230	0
20	39.130164	0.000000	39.130164	0	0	17
21	45.726217	0.000000	45.726217	0	0	21
22	43.646836	12.500000	31.146837	240	230	0
23	37.916298	0.000000	37.916298	0	0	16
24	48.251593	0.000000	48.251593	0	0	14
25	40.809460	0.000000	40.809460	57	57	12
26	43.419461	0.000000	43.419461	0	0	14
27	38.573204	0.000000	38.573204	0	0	13
28	38.742202	0.000000	38.742202	0	0	16
29	46.805764	0.000000	46.805764	0	0	16
30	45.262822	12.500001	32.762821	239	229	0
31	45.247849	0.000000	45.247849	0	0	10
32	42.018730	0.000000	42.018730	0	0	8
33	43.269534	0.000000	43.269534	0	0	12
34	40.543336	0.000000	40.543336	30	30	8
35	41.340596	0.000000	41.340596	0	0	12
36	41.969435	0.000000	41.969435	0	0	10
37	42.078548	0.000000	42.078548	0	0	14
38	43.735220	0.000000	43.735220	7	7	10
39	43.608729	0.000000	43.608729	0	0	14
40	42.532040	0.000000	42.532040	0	0	14
41	40.504729	0.000000	40.504729	0	0	14
42	41.147056	0.000000	41.147056	0	0	14
43	43.438531	0.000000	43.438531	0	0	8
44	42.470441	0.000000	42.470441	0	0	14
45	37.851424	0.000000	37.851424	0	0	12
46	41.171737	0.000000	41.171737	0	0	10
47	41.382222	0.000000	41.382222	0	0	13
48	38.594484	0.000000	38.594484	0	0	13
49	44.205275	0.000000	44.205275	0	0	10
50	46.691884	0.000000	46.691884	0	0	16
51	43.688486	0.000000	43.688486	0	0	10
52	43.329280	0.000000	43.329280	0	0	10
53	47.359902	12.500000	34.859902	30	20	14
54	43.060843	0.000000	43.060843	0	0	8
55	47.380476	25.000000	22.380476	240	220	0
56	47.784432	12.500000	35.284433	240	230	0
57	42.116199	13.750000	28.366200	240	229	0
58	41.628071	0.000000	41.628071	0	0	11
59	43.924152	0.000000	43.924152	0	0	14
60	42.364754	0.000000	42.364754	0	0	12
61	39.184085	12.500000	26.684086	239	229	0
62	39.845342	0.000000	39.845342	0	0	10
63	39.605645	0.000000	39.605645	0	0	16
64	39.624019	0.000000	39.624019	30	30	12
65	45.529044	0.000000	45.529044	26	26	12
66	46.076113	0.000000	46.076113	0	0	14
67	39.009209	0.000000	39.009209	25	25	9
68	38.756567	0.000000	38.756567	30	30	6
69	48.145430	12.500000	35.645430	240	230	0
70	43.664335	0.000000	43.664335	60	60	5
71	39.983935	0.000000	39.983935	0	0	8
72	42.624316	0.000000	42.624316	0	0	8
73	45.354452	12.500000	32.854453	240	230	0
74	40.670334	0.000000	40.670334	30	30	5
75	42.494027	0.000000	42.494027	0	0	6
76	44.823823	12.500000	32.323822	240	230	0
77	42.598123	0.000000	42.598123	0	0	7
78	39.297809	0.000000	39.297809	30	30	6
79	47.693249	0.000000	47.693249	0	0	8
80	43.647763	0.000000	43.647763	0	0	8
81	41.564010	0.000000	41.564010	58	58	7
82	45.822758	0.000000	45.822758	0	0	14
83	39.894953	0.000000	39.894953	30	30	12
84	45.497342	0.000000	45.497342	0	0	11
85	39.128653	0.000000	39.128653	0	0	12
86	42.910490	0.000000	42.910490	240	240	0
87	47.669529	0.000000	47.669529	0	0	10
88	40.722304	0.000000	40.722304	0	0	10
89	41.624278	0.000000	41.624278	0	0	11
90	48.376984	0.000000	48.376984	0	0	11
91	37.706728	0.000000	37.706728	30	30	10
92	42.753809	0.000000	42.753809	0	0	14
93	39.402741	0.000000	39.402741	0	0	13
94	42.387846	0.000000	42.387846	0	0	10
95	41.117665	0.000000	41.117665	30	30	14
96	39.557475	0.000000	39.557475	0	0	11
97	44.299352	0.000000	44.299352	0	0	13
98	43.309137	0.000000	43.309137	0	0	12
99	41.927066	0.000000	41.927066	29	29	10
100	40.323082	0.000000	40.323082	0	0	12
101	40.982160	0.000000	40.982160	0	0	16
102	42.759408	10.000000	32.759408	240	232	0
