Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	42.818590	0.000000	42.818590	0	0	16
2	40.510927	0.000000	40.510927	0	0	21
3	39.622610	0.000000	39.622610	30	30	13
4	43.953262	0.000000	43.953262	0	0	18
5	40.440374	15.000000	25.440373	239	227	1
6	39.848520	0.000000	39.848520	0	0	15
7	45.470627	15.000001	30.470627	240	228	0
8	36.888271	0.000000	36.888271	0	0	20
9	37.219146	0.000000	37.219146	60	60	20
10	42.878067	0.000000	42.878067	0	0	24
11	40.259362	12.500000	27.759362	240	230	0
12	39.130164	0.000000	39.130164	0	0	17
13	45.726217	0.000000	45.726217	0	0	21
14	43.646836	12.500000	31.146837	240	230	0
15	37.916298	0.000000	37.916298	0	0	16
16	48.251593	0.000000	48.251593	0	0	14
17	40.809460	0.000000	40.809460	57	57	12
18	43.419461	0.000000	43.419461	0	0	14
19	38.573204	0.000000	38.573204	0	0	13
20	38.742202	0.000000	38.742202	0	0	16
21	46.805764	0.000000	46.805764	0	0	16
22	45.262822	12.500001	32.762821	239	229	0
23	45.247849	0.000000	45.247849	0	0	10
24	42.018730	0.000000	42.018730	0	0	8
25	43.269534	0.000000	43.269534	0	0	12
26	40.543336	0.000000	40.543336	30	30	8
27	41.340596	0.000000	41.340596	0	0	12
28	41.969435	0.000000	41.969435	0	0	10
29	42.078548	0.000000	42.078548	0	0	14
30	43.735220	0.000000	43.735220	7	7	10
31	43.608729	0.000000	43.608729	0	0	14
32	42.532040	0.000000	42.532040	0	0	14
33	40.504729	0.000000	40.504729	0	0	14
34	41.147056	0.000000	41.147056	0	0	14
35	43.438531	0.000000	43.438531	0	0	8
36	42.470441	0.000000	42.470441	0	0	14
37	37.851424	0.000000	37.851424	0	0	12
38	41.171737	0.000000	41.171737	0	0	10
39	41.382222	0.000000	41.382222	0	0	13
40	38.594484	0.000000	38.594484	0	0	13
41	44.205275	0.000000	44.205275	0	0	10
42	46.691884	0.000000	46.691884	0	0	16
43	43.688486	0.000000	43.688486	0	0	10
44	43.329280	0.000000	43.329280	0	0	10
45	47.359902	12.500000	34.859902	30	20	14
46	43.060843	0.000000	43.060843	0	0	8
47	47.380476	25.000000	22.380476	240	220	0
48	47.784432	12.500000	35.284433	240	230	0
49	42.116199	13.750000	28.366200	240	229	0
50	41.628071	0.000000	41.628071	0	0	11
51	43.924152	0.000000	43.924152	0	0	14
52	42.364754	0.000000	42.364754	0	0	12
53	39.184085	12.500000	26.684086	239	229	0
54	39.845342	0.000000	39.845342	0	0	10
55	39.605645	0.000000	39.605645	0	0	16
56	39.624019	0.000000	39.624019	30	30	12
57	45.529044	0.000000	45.529044	26	26	12
58	46.076113	0.000000	46.076113	0	0	14
59	39.009209	0.000000	39.009209	25	25	9
60	38.756567	0.000000	38.756567	30	30	6
61	48.145430	12.500000	35.645430	240	230	0
62	43.664335	0.000000	43.664335	60	60	5
63	39.983935	0.000000	39.983935	0	0	8
64	42.624316	0.000000	42.624316	0	0	8
65	45.354452	12.500000	32.854453	240	230	0
66	40.670334	0.000000	40.670334	30	30	5
67	42.494027	0.000000	42.494027	0	0	6
68	44.823823	12.500000	32.323822	240	230	0
69	42.598123	0.000000	42.598123	0	0	7
70	39.297809	0.000000	39.297809	30	30	6
71	47.693249	0.000000	47.693249	0	0	8
72	43.647763	0.000000	43.647763	0	0	8
73	41.564010	0.000000	41.564010	58	58	7
74	45.822758	0.000000	45.822758	0	0	14
75	39.894953	0.000000	39.894953	30	30	12
76	45.497342	0.000000	45.497342	0	0	11
77	39.128653	0.000000	39.128653	0	0	12
78	42.910490	0.000000	42.910490	240	240	0
79	47.669529	0.000000	47.669529	0	0	10
80	40.722304	0.000000	40.722304	0	0	10
81	41.624278	0.000000	41.624278	0	0	11
82	48.376984	0.000000	48.376984	0	0	11
83	37.706728	0.000000	37.706728	30	30	10
84	42.753809	0.000000	42.753809	0	0	14
85	39.402741	0.000000	39.402741	0	0	13
86	42.387846	0.000000	42.387846	0	0	10
87	41.117665	0.000000	41.117665	30	30	14
88	39.557475	0.000000	39.557475	0	0	11
89	44.299352	0.000000	44.299352	0	0	13
90	43.309137	0.000000	43.309137	0	0	12
91	41.927066	0.000000	41.927066	29	29	10
92	40.323082	0.000000	40.323082	0	0	12
93	40.982160	0.000000	40.982160	0	0	16
94	42.759408	10.000000	32.759408	240	232	0
