Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	42.962046	5.0	37.9620463333	392.666666667	382.666666667	29.3333333333	
2	47.3261726667	7.0	40.3261726667	367.0	353.0	28.0	
3	47.5248213333	7.33333333333	40.191488	420.0	405.333333333	12.0	
4	48.118377	6.66666666667	41.4517106667	403.333333333	390.0	24.6666666667	
5	46.9096366667	6.66666666667	40.24297	408.666666667	395.333333333	2.0	
6	50.7581033333	5.0	45.758103	379.333333333	369.333333333	15.0	
7	52.761688	5.83333333333	46.9283553333	540.666666667	529.0	8.0	
8	52.6017776667	8.66666666667	43.935111	510.666666667	493.333333333	15.6666666667	
9	59.850521	18.1666666667	41.6838543333	554.333333333	518.0	11.6666666667	
10	53.771018	10.1666666667	43.6043513333	443.333333333	423.0	25.6666666667	
11	52.794772	10.0	42.794772	499.666666667	479.666666667	9.66666666667	
12	56.113686	11.8333333333	44.280353	535.333333333	511.666666667	13.0	
13	54.4843716667	9.50000033333	44.9843716667	540.0	521.0	7.0	
14	55.202044	10.6666666667	44.5353773333	508.666666667	487.333333333	10.0	
15	57.855297	11.9999996667	45.8552973333	573.0	549.0	5.66666666667	
16	58.884457	16.8333333333	42.0511236667	549.0	515.333333333	10.3333333333	
17	55.2803213333	13.0000003333	42.280321	577.0	551.0	5.33333333333	
18	62.2750703333	13.5	48.7750706667	600.0	573.0	0.0	
19	70.6978426667	23.1666666667	47.5311756667	600.0	553.666666667	0.0	
20	70.421828	17.833333	52.5884946667	600.0	564.333333333	0.0	
21	71.9576466667	20.8333336667	51.1243133333	600.0	558.333333333	0.0	
22	67.487414	15.6666666667	51.8207473333	600.0	568.666666667	0.0	
23	81.819751	32.1666666667	49.653084	580.0	515.666666667	5.33333333333	
24	71.663776	20.8333333333	50.8304423333	600.0	558.333333333	0.0	
25	72.593919	23.1666673333	49.4272516667	600.0	553.666666667	0.0	
26	73.4826926667	22.666667	50.8160256667	578.0	532.666666667	0.0	
27	69.083534	17.6666666667	51.416867	410.0	374.666666667	7.66666666667	
28	70.0142186667	18.4999996667	51.514219	586.666666667	549.666666667	1.0	
29	77.3941736667	26.5	50.8941736667	574.0	521.0	6.66666666667	
30	76.9309826667	26.1666663333	50.7643163333	465.0	412.666666667	1.0	
31	84.7502436667	34.333333	50.4169103333	586.333333333	517.666666667	0.333333333333	
32	85.5378146667	34.8333336667	50.704481	600.0	530.333333333	0.0	
33	97.049874	48.1666663333	48.8832073333	582.666666667	486.333333333	1.0	
34	95.3731913333	46.1666666667	49.2065243333	600.0	507.666666667	0.0	
35	92.010497	42.4999993333	49.5104976667	580.0	495.0	0.0	
36	92.9560293333	44.8333333333	48.122696	600.0	510.333333333	0.0	
37	99.4642476667	50.833333	48.6309143333	600.0	498.333333333	0.0	
38	104.197616667	53.166666	51.0309506667	600.0	493.666666667	0.0	
39	103.253451333	55.3333333333	47.920118	600.0	489.333333333	0.0	
40	109.532451333	56.6666673333	52.8657843333	682.0	568.666666667	0.0	
41	125.218854667	75.3333336667	49.8855206667	600.0	449.333333333	0.0	
42	137.294909	86.4999993333	50.7949093333	693.666666667	520.666666667	1.33333333333	
43	135.098978667	85.333333	49.765646	610.0	439.333333333	0.0	
44	139.590938	93.9999996667	45.5909386667	676.333333333	481.666666667	11.3333333333	
45	139.884731	89.8333336667	50.0513976667	650.333333333	470.666666667	6.33333333333	
46	143.789752667	92.6666663333	51.123086	684.333333333	499.0	4.33333333333	
47	165.207021667	116.666667	48.5403553333	670.333333333	437.0	5.0	
48	170.612809667	121.500000333	49.1128086667	694.333333333	451.333333333	3.33333333333	
49	179.57951	131.500001667	48.0795083333	701.333333333	438.333333333	3.33333333333	
50	172.992778333	121.999999667	50.9927786667	681.333333333	437.333333333	2.0	
51	181.537113667	129.500001	52.0371126667	683.0	424.0	3.33333333333	
52	181.171643333	133.833335	47.3383086667	720.0	452.333333333	7.33333333333	
53	187.260634333	134.5	52.7606343333	622.0	353.0	30.6666666667	
54	181.718225333	132.000000333	49.7182246667	579.333333333	315.333333333	35.3333333333	
55	184.037159	136.333332667	47.7038263333	701.0	428.333333333	12.6666666667	
56	202.00846	151.500001	50.5084586667	746.333333333	443.333333333	5.66666666667	
57	206.950792333	158.000002333	48.95079	666.333333333	350.333333333	13.3333333333	
58	193.452097667	143.166668	50.2854296667	735.0	448.666666667	8.33333333333	
59	203.712001333	154.000000667	49.7120006667	737.0	429.0	5.33333333333	
60	198.478975333	146.500000667	51.9789746667	639.333333333	346.333333333	14.0	
61	206.953994333	156.166667	50.7873276667	729.333333333	417.0	5.66666666667	
62	205.285282667	151.999998667	53.2852843333	734.333333333	430.333333333	6.33333333333	
63	209.637687667	158.333332667	51.304355	743.666666667	427.0	5.33333333333	
64	209.408486667	158.166666333	51.24182	641.0	324.666666667	15.3333333333	
65	203.303812667	149.166667	54.137145	739.333333333	441.0	5.33333333333	
66	211.545975333	159.666665667	51.87931	739.666666667	420.333333333	5.33333333333	
