Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	45.997955	5.000000	40.997956	578	568	0
2	44.869404	0.000000	44.869404	0	0	60
3	45.270128	5.000000	40.270128	600	590	0
4	48.864675	10.000000	38.864675	600	580	0
5	45.973843	10.000000	35.973843	566	546	0
6	49.896618	0.000000	49.896618	60	60	12
7	52.046755	7.500000	44.546756	450	435	18
8	54.556242	11.000000	43.556242	480	458	19
9	72.187297	29.000000	43.187297	450	392	18
10	62.825975	19.500000	43.325975	360	321	24
11	54.864536	10.000000	44.864536	480	460	0
12	55.980450	11.000000	44.980450	495	473	18
13	54.183458	10.500000	43.683458	420	399	21
14	57.575146	11.500000	46.075146	510	487	6
15	70.082096	22.000000	48.082096	519	475	17
16	66.249067	20.500000	45.749067	447	406	31
17	67.528533	21.000001	46.528532	531	489	16
18	72.922051	11.000000	61.922051	600	578	0
19	90.792581	30.500000	60.292581	600	539	0
20	101.027810	35.999999	65.027811	600	528	0
21	101.580289	36.000000	65.580289	600	528	0
22	95.658097	31.000000	64.658097	600	538	0
23	118.071036	51.000000	67.071036	600	498	0
24	105.301737	39.500000	65.801736	600	521	0
25	107.064303	39.000002	68.064301	600	522	0
26	111.198854	46.000001	65.198853	600	508	0
27	95.454838	27.999999	67.454838	600	544	0
28	100.407638	35.499999	64.907639	600	529	0
29	111.226423	45.500000	65.726423	600	509	0
30	118.941791	61.500000	57.441791	600	477	0
31	133.038529	74.999999	58.038529	600	450	0
32	142.347979	83.000001	59.347978	600	434	0
33	166.187493	109.499999	56.687494	600	381	0
34	160.931086	101.500000	59.431085	600	397	0
35	155.844395	92.499998	63.344397	600	415	0
36	162.901505	104.500000	58.401505	600	391	0
37	178.959581	114.499999	64.459581	600	371	0
38	179.312454	114.499999	64.812455	600	371	0
39	192.406128	131.000000	61.406128	600	338	0
40	200.565191	139.000002	61.565190	751	473	0
41	233.505159	172.500001	61.005158	600	255	0
42	266.798891	205.999998	60.798893	881	469	4
43	258.912463	193.499999	65.412464	630	243	0
44	282.555661	229.499999	53.055662	918	439	15
45	285.259993	226.500000	58.759993	751	298	19
46	287.859966	227.499999	60.359966	853	398	13
47	358.734393	304.500000	54.234394	811	202	15
48	367.463405	308.000000	59.463404	883	267	10
49	397.534014	341.000004	56.534010	904	222	10
50	373.841903	311.999998	61.841905	844	220	6
51	400.959169	343.500002	57.459167	963	276	9
52	409.249326	351.500005	57.749321	960	257	22
53	415.068464	353.500000	61.568464	995	288	9
54	402.118635	340.000001	62.118634	916	236	17
55	420.681947	364.499999	56.181948	934	205	27
56	460.667316	399.500003	61.167313	1,039	240	17
57	468.258149	408.000005	60.258144	1,035	219	17
58	443.844505	387.000004	56.844501	1,005	231	25
59	474.053637	412.000001	62.053636	1,011	187	16
60	451.554393	390.500002	61.054391	983	202	16
61	481.639925	421.000000	60.639925	972	130	17
62	466.124704	405.999996	60.124709	987	175	19
63	488.547445	426.999997	61.547448	1,031	177	16
64	479.774467	413.499998	66.274469	1,003	176	8
65	463.331004	402.000002	61.331001	1,018	214	16
66	496.479808	434.999996	61.479812	1,019	149	16
67	490.569859	434.500005	56.069854	1,004	135	21
68	459.904784	405.000001	54.904783	925	115	29
69	492.940862	433.999996	58.940866	1,022	154	21
70	492.055738	435.499993	56.555745	1,041	170	20
71	486.350967	427.000007	59.350960	1,008	154	21
72	505.566125	447.499999	58.066126	985	90	27
73	542.287495	478.000001	64.287494	1,135	179	10
74	500.535880	441.500008	59.035872	1,039	156	18
75	527.271078	463.499997	63.771082	1,084	157	11
76	515.135304	454.499996	60.635308	1,052	143	17
77	492.436356	435.500000	56.936356	993	122	29
78	486.082275	428.500006	57.582269	982	125	22
79	484.946937	426.000003	58.946934	996	144	21
80	487.469006	427.000006	60.469000	1,032	178	19
81	500.364810	441.999996	58.364814	1,028	144	20
82	472.862049	413.999999	58.862049	948	120	20
83	496.598340	439.000002	57.598337	995	117	24
84	502.360931	447.999995	54.360936	1,035	139	25
85	506.181065	446.500002	59.681063	1,041	148	18
86	498.714400	440.499997	58.214403	978	97	25
87	514.977459	458.499999	56.477460	1,019	102	25
88	492.785656	434.000001	58.785655	956	88	18
89	500.758067	440.500001	60.258066	975	94	19
90	491.838977	434.999999	56.838977	970	100	23
91	492.644460	435.000000	57.644459	976	106	25
92	513.419594	449.000005	64.419589	1,052	154	9
93	529.799355	468.500003	61.299351	1,027	90	20
94	520.266354	459.500003	60.766351	1,034	115	20
95	537.159523	476.499999	60.659524	1,035	82	15
96	503.580632	446.999998	56.580634	1,042	148	21
97	492.072301	431.500001	60.572301	969	106	22
98	524.208929	462.500003	61.708926	1,018	93	19
99	474.642557	416.000002	58.642554	1,044	212	21
100	513.950169	453.000002	60.950166	1,004	98	15
101	475.532095	413.500003	62.032092	934	107	16
102	512.958129	450.999999	61.958130	1,020	118	19
103	495.103554	437.499999	57.603555	966	91	19
104	510.688853	452.500003	58.188851	1,003	98	24
105	509.941891	448.499999	61.441893	1,012	115	18
