Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	40.867101	0.000000	40.867101	0	0	88
2	44.283053	1.000000	43.283053	501	499	24
3	43.389244	0.000000	43.389244	60	60	36
4	48.987904	0.000000	48.987904	10	10	74
5	46.981640	0.000000	46.981640	60	60	6
6	52.429560	5.000000	47.429560	478	468	33
7	50.151241	0.000000	50.151241	572	572	6
8	47.011670	5.000000	42.011670	452	442	28
9	47.697453	5.500000	42.197453	613	602	17
10	47.161269	1.000000	46.161269	370	368	53
11	47.146039	5.000000	42.146039	419	409	29
12	54.593526	9.500000	45.093527	511	492	21
13	50.952601	3.000000	47.952601	600	594	0
14	48.433906	5.500000	42.933906	416	405	24
15	53.927899	5.500000	48.427899	600	589	0
16	58.162317	20.000000	38.162317	600	560	0
17	50.222383	10.000000	40.222383	600	580	0
18	60.196835	15.000000	45.196835	600	570	0
19	59.306057	16.500000	42.806057	600	567	0
20	54.220940	4.500000	49.720940	600	591	0
21	58.706174	11.500000	47.206175	600	577	0
22	57.700147	11.000000	46.700147	600	578	0
23	73.459261	30.500000	42.959261	540	479	16
24	52.172721	3.000000	49.172721	600	594	0
25	62.239035	20.500000	41.739035	600	559	0
26	53.706017	7.000000	46.706017	600	586	0
27	60.841669	20.000001	40.841668	510	470	22
28	56.581621	15.000000	41.581622	600	570	0
29	60.830114	20.000000	40.830114	522	482	20
30	56.464106	7.000000	49.464106	600	586	0
31	63.930720	17.999999	45.930720	600	564	0
32	62.564087	16.500000	46.064087	600	567	0
33	68.522619	25.000001	43.522618	600	550	0
34	61.470410	12.000000	49.470410	600	576	0
35	61.670402	20.000000	41.670402	540	500	0
36	63.219546	20.000000	43.219546	600	560	0
37	65.254784	25.000000	40.254784	600	550	0
38	72.966485	29.999999	42.966486	600	540	0
39	61.736539	20.000000	41.736539	600	560	0
40	66.726273	22.500000	44.226273	600	555	0
41	60.136579	15.000000	45.136579	600	570	0
42	67.645932	22.500000	45.145932	600	555	0
43	61.761356	20.000000	41.761357	600	560	0
44	59.903841	15.000000	44.903841	511	481	19
45	63.852271	19.000001	44.852271	600	562	0
