Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	44.592316	0.000000	44.592316	191	191	0
2	49.359783	6.500000	42.859784	582	569	0
3	50.948693	5.500000	45.448694	600	589	0
4	48.471819	4.000000	44.471819	600	592	0
5	55.558207	8.500000	47.058207	598	581	0
6	55.921123	8.000000	47.921123	600	584	0
7	54.990158	8.000000	46.990158	600	584	0
8	53.162019	6.000000	47.162019	600	588	0
9	54.796200	6.000000	48.796200	600	588	0
10	51.686741	3.500000	48.186741	600	593	0
11	51.064040	2.500000	48.564040	600	595	0
12	62.139870	12.500000	49.639870	570	545	0
13	52.860941	5.500000	47.360941	600	589	0
14	52.624157	8.500000	44.124157	600	583	0
15	56.762937	8.500000	48.262937	600	583	0
16	57.430975	13.000000	44.430975	600	574	0
17	53.220208	5.500000	47.720207	600	589	0
18	53.739619	6.000000	47.739618	600	588	0
19	57.801020	9.500000	48.301020	600	581	0
20	58.820133	11.000000	47.820133	510	488	0
21	57.211561	10.500000	46.711561	540	519	0
22	58.659031	8.000000	50.659031	540	524	0
23	53.975205	0.000000	53.975205	0	0	41
24	55.445498	8.500000	46.945498	540	523	0
25	60.114383	10.500000	49.614383	600	579	0
26	57.525097	8.500000	49.025098	600	583	0
27	60.145249	11.000000	49.145249	600	578	0
28	62.618777	14.000000	48.618777	759	731	1
29	61.807454	13.500000	48.307454	653	626	0
30	62.334929	13.500000	48.834929	664	637	2
31	65.027758	15.000000	50.027758	733	703	2
32	66.570335	15.500000	51.070335	727	696	3
33	73.221458	20.500000	52.721457	681	640	0
34	65.079794	15.500001	49.579794	722	691	0
35	72.180745	18.500001	53.680744	652	615	3
36	71.606575	19.500000	52.106575	721	682	4
37	68.448505	17.000000	51.448505	679	645	4
38	69.313448	19.000000	50.313448	761	723	1
39	87.185290	27.000000	60.185291	689	635	0
40	88.106042	30.000000	58.106042	728	668	0
41	96.465299	35.000000	61.465299	699	629	0
42	92.702021	29.499999	63.202022	648	589	0
43	95.321955	30.999999	64.321956	675	613	0
44	96.416122	34.500001	61.916121	729	660	0
45	98.488361	34.499998	63.988362	750	681	0
46	90.718516	28.499999	62.218516	712	655	0
47	100.587632	38.999998	61.587634	734	656	0
48	95.691431	30.500000	65.191431	638	577	0
49	95.426506	30.500000	64.926506	681	620	0
50	89.663523	28.500001	61.163523	688	631	0
51	98.038220	36.000001	62.038219	704	632	0
52	97.145796	33.500000	63.645796	645	578	0
53	92.405993	30.999999	61.405994	681	619	0
54	103.106275	40.500002	62.606273	675	594	0
55	101.043283	34.000000	67.043283	750	682	0
56	110.588526	41.500001	69.088525	759	676	0
57	99.667658	37.499999	62.167659	770	695	0
58	104.570432	36.000000	68.570432	728	656	0
59	102.920774	35.000001	67.920773	659	589	0
60	108.094827	39.500001	68.594827	774	695	0
61	108.846050	41.499999	67.346051	745	662	0
62	101.325856	35.000000	66.325856	703	633	0
63	105.180510	37.000000	68.180510	762	688	0
64	103.828412	38.000000	65.828411	665	589	0
65	102.270000	37.500000	64.770000	694	619	0
66	97.948587	34.000000	63.948587	705	637	0
67	96.280675	29.000000	67.280675	719	661	0
68	103.383247	40.500001	62.883246	731	650	0
69	104.916532	38.500001	66.416531	670	593	0
70	97.865384	32.500000	65.365384	678	613	0
71	105.258875	41.000000	64.258875	728	646	0
72	104.669346	37.999999	66.669346	742	666	0
73	99.643644	37.000000	62.643644	672	598	0
74	109.054963	38.999999	70.054964	780	702	0
75	111.426399	45.000000	66.426398	823	733	0
76	113.516724	44.500001	69.016723	808	719	0
77	110.499614	40.499999	69.999615	772	691	0
78	114.691714	45.000000	69.691713	793	703	0
79	112.370600	46.000001	66.370599	839	747	0
80	109.242122	42.500000	66.742122	788	703	0
81	113.341722	46.000000	67.341722	791	699	0
82	113.162902	41.000000	72.162902	756	674	0
83	114.899167	44.500000	70.399167	769	680	0
84	112.239066	44.000000	68.239066	825	737	0
85	118.452488	47.499999	70.952489	803	708	0
86	113.146271	41.000000	72.146271	718	636	2
87	112.782578	41.500000	71.282578	789	706	2
88	117.286447	45.000000	72.286447	751	661	0
89	116.033483	45.000001	71.033482	764	674	1
90	112.853426	41.500001	71.353425	753	670	2
91	116.410530	44.000000	72.410530	739	651	0
92	114.058529	42.000000	72.058529	761	677	0
93	114.091808	43.500000	70.591809	715	628	5
94	122.508705	51.500001	71.008704	829	726	0
95	113.122253	41.499999	71.622254	689	606	2
96	114.574625	43.499999	71.074626	777	690	1
97	117.365327	45.999999	71.365328	708	616	1
98	115.367721	45.999999	69.367722	783	691	4
99	120.151697	53.000000	67.151697	1,110	1,004	1
100	118.372985	47.500000	70.872984	1,000	905	0
101	122.225713	52.000001	70.225712	941	837	0
102	119.145839	51.500000	67.645839	1,028	925	1
103	116.192602	46.000000	70.192602	909	817	2
104	123.677940	54.000000	69.677940	1,079	971	0
105	126.749772	56.499999	70.249773	1,086	973	1
106	118.786574	49.999998	68.786576	1,015	915	2
107	125.069468	56.499999	68.569468	1,131	1,018	0
108	122.734127	53.500001	69.234126	1,077	970	0
109	128.569732	58.000000	70.569732	1,104	988	0
110	117.672620	47.500000	70.172620	913	818	0
111	124.324457	56.000001	68.324457	1,113	1,001	0
112	122.589091	51.500001	71.089090	1,013	910	0
113	122.258204	52.000000	70.258204	1,074	970	0
114	130.368944	61.999999	68.368945	1,201	1,077	0
115	127.809943	57.000000	70.809943	1,065	951	1
116	123.328336	55.500002	67.828334	1,085	974	0
117	124.456551	53.999999	70.456553	940	832	1
118	121.248752	49.500001	71.748751	967	868	1
119	120.610389	52.000000	68.610389	1,030	926	0
120	133.848563	65.000001	68.848563	1,204	1,074	1
121	123.201982	52.499998	70.701983	1,063	958	0
122	122.763504	51.500000	71.263504	909	806	1
123	125.613357	55.000000	70.613357	951	841	2
124	123.392488	51.499999	71.892489	843	740	0
125	127.727681	57.000000	70.727681	1,061	947	0
126	125.514469	54.500000	71.014469	1,035	926	0
127	124.717700	53.500002	71.217699	1,041	934	0
128	125.145840	55.000000	70.145840	956	846	1
129	122.229416	51.500000	70.729416	987	884	0
130	123.681840	53.000001	70.681839	1,113	1,007	0
131	130.060807	60.499999	69.560807	1,274	1,153	1
132	141.977451	71.500000	70.477451	929	786	19
133	137.451681	66.000000	71.451681	960	828	20
134	140.093167	71.500000	68.593168	1,025	882	28
135	144.409228	73.999999	70.409229	1,060	912	22
136	148.802277	77.500000	71.302278	1,117	962	20
137	154.437273	87.500000	66.937273	1,100	925	25
138	155.774718	85.999998	69.774721	1,102	930	20
139	160.413515	90.000002	70.413513	1,152	972	21
140	153.908793	82.500001	71.408792	1,103	938	21
141	162.143423	92.499998	69.643425	1,190	1,005	23
142	154.348033	83.000002	71.348031	1,090	924	19
143	165.459643	95.500001	69.959642	1,112	921	18
144	159.127784	88.000000	71.127784	1,148	972	22
145	157.198627	88.500000	68.698627	1,149	972	22
146	160.206873	90.999999	69.206874	1,092	910	21
147	152.752357	83.999998	68.752359	1,184	1,016	18
