Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	49.993409	4.500000	45.493410	600	591	0
2	51.686913	5.000000	46.686913	600	590	0
3	58.509331	10.500000	48.009330	600	579	0
4	55.637056	5.500000	50.137056	600	589	0
5	52.310808	5.000000	47.310808	600	590	0
6	53.887270	1.000000	52.887270	600	598	1
7	53.293331	4.500000	48.793330	600	591	0
8	53.682033	2.000000	51.682033	600	596	0
9	56.666460	2.500000	54.166460	600	595	0
10	54.591606	8.000000	46.591607	600	584	0
11	55.304217	6.000000	49.304217	600	588	0
12	59.208630	6.000000	53.208630	600	588	0
13	54.453218	6.500000	47.953218	600	587	0
14	55.991789	9.500000	46.491789	516	497	17
15	61.180729	11.000000	50.180729	601	579	1
16	56.846874	8.000000	48.846873	600	584	0
17	57.491518	7.000000	50.491518	600	586	0
18	55.759907	5.500000	50.259907	540	529	16
19	57.418774	7.000000	50.418774	570	556	0
20	61.882532	11.500000	50.382532	540	517	18
21	59.843648	9.000000	50.843648	600	582	5
22	59.620891	7.500000	52.120891	540	525	14
23	59.010749	7.500000	51.510749	600	585	0
24	66.280796	13.000000	53.280796	540	514	14
25	58.726962	7.500000	51.226962	600	585	0
26	58.107069	8.500000	49.607069	570	553	20
27	55.347920	3.500000	51.847920	540	533	0
28	57.047477	8.000000	49.047477	600	584	0
29	64.615038	9.500000	55.115038	306	287	27
30	56.901063	3.500000	53.401063	600	593	0
31	61.788537	6.000000	55.788537	600	588	0
32	63.078986	8.500000	54.578986	337	320	34
33	59.487318	5.500000	53.987318	271	260	48
34	61.658967	10.500000	51.158967	510	489	23
35	62.374914	9.500000	52.874915	600	581	0
36	61.561798	7.000000	54.561798	600	586	9
37	62.005204	6.500000	55.505204	540	527	17
38	72.633388	14.500000	58.133388	495	466	22
39	62.771061	8.500000	54.271061	480	463	34
40	64.962553	9.500000	55.462553	450	431	33
41	69.842791	12.999999	56.842791	540	514	16
42	66.416015	12.000000	54.416014	600	576	0
43	63.420541	8.000000	55.420541	397	381	37
44	60.995916	7.000000	53.995916	390	376	32
45	64.947217	11.500000	53.447216	480	457	26
46	65.706794	10.500000	55.206794	450	429	35
47	63.366315	7.500000	55.866315	450	435	24
48	66.827106	13.000000	53.827106	510	484	22
49	65.502746	13.500000	52.002745	480	453	29
50	64.234957	9.500000	54.734957	480	461	29
51	69.864207	12.000000	57.864207	510	486	25
52	67.483669	8.500000	58.983669	600	583	6
53	68.984925	11.500000	57.484924	600	577	5
54	64.245840	7.500000	56.745840	600	585	0
55	69.439132	9.499999	59.939132	600	581	0
56	68.774737	6.500000	62.274737	600	587	0
57	66.812749	11.000000	55.812749	600	578	0
58	65.392940	11.500000	53.892940	600	577	0
59	65.182792	11.000000	54.182792	600	578	0
60	68.538891	6.500000	62.038892	600	587	0
61	66.166772	10.500000	55.666772	600	579	6
62	66.027572	8.500000	57.527572	600	583	0
63	67.123680	11.500000	55.623680	600	577	0
64	68.164817	6.999999	61.164817	600	586	0
65	62.712705	4.500000	58.212704	600	591	1
66	66.153651	9.000000	57.153651	600	582	0
67	77.084706	15.499999	61.584707	600	569	0
68	67.511311	7.000000	60.511311	600	586	0
69	71.889327	15.500000	56.389327	600	569	0
70	72.895100	7.000000	65.895100	598	584	0
71	73.754062	7.500000	66.254062	600	585	0
72	71.676730	8.000000	63.676730	600	584	0
73	71.244882	7.000000	64.244882	599	585	0
74	64.119005	5.000000	59.119005	600	590	0
75	68.253304	9.500000	58.753304	600	581	5
76	67.804896	6.500000	61.304896	600	587	0
77	66.480249	7.000000	59.480249	600	586	0
78	69.865047	11.000000	58.865046	600	578	5
79	67.126213	4.500000	62.626213	600	591	0
80	71.123614	12.500000	58.623613	600	575	6
81	68.909129	12.000000	56.909129	540	516	19
82	66.976757	8.000000	58.976757	599	583	0
83	68.780328	8.000000	60.780328	600	584	0
84	70.137745	10.500000	59.637745	600	579	0
85	65.309889	7.000000	58.309889	600	586	0
86	64.871700	9.500000	55.371700	540	521	19
87	69.221154	8.500000	60.721154	600	583	0
88	68.804562	10.500000	58.304562	540	519	22
89	68.663125	6.500000	62.163125	600	587	0
90	71.886288	14.000000	57.886288	455	427	31
91	70.494481	13.500000	56.994481	546	519	17
92	68.645473	12.500000	56.145473	540	515	22
93	70.734914	7.000000	63.734914	600	586	0
94	71.466704	12.000000	59.466704	529	505	16
95	72.345796	6.500000	65.845796	600	587	0
96	72.561228	14.000000	58.561229	600	572	14
97	68.689111	7.000000	61.689111	600	586	0
98	75.663010	14.500000	61.163011	600	571	14
99	80.595694	19.999999	60.595695	600	560	13
100	77.311172	16.999999	60.311173	540	506	13
101	71.048845	12.000000	59.048845	600	576	7
102	78.860618	17.500000	61.360618	570	535	13
103	79.173963	13.500000	65.673963	600	573	0
104	76.739179	11.500000	65.239179	600	577	1
105	73.684547	9.000000	64.684547	600	582	0
106	68.840288	6.000000	62.840288	600	588	0
107	70.459068	7.500000	62.959068	600	585	0
108	73.413996	14.500000	58.913996	540	511	18
109	72.944527	9.000000	63.944527	600	582	0
110	73.555573	14.000000	59.555573	600	572	14
111	73.946324	13.000000	60.946324	600	574	8
112	74.174876	12.500000	61.674876	600	575	8
113	71.145789	8.500000	62.645789	599	582	1
114	72.085971	12.000000	60.085972	570	546	14
115	71.505596	15.000000	56.505595	540	510	23
116	75.955349	15.500000	60.455349	600	569	17
117	73.136914	13.500000	59.636914	570	543	18
118	72.177648	9.500000	62.677648	600	581	0
119	72.043935	6.500000	65.543935	600	587	0
120	74.376058	7.000000	67.376058	600	586	0
121	73.522385	7.500000	66.022385	600	585	0
122	74.629051	11.500000	63.129051	600	577	0
123	75.716361	13.500000	62.216361	600	573	9
124	74.193107	15.500000	58.693106	570	539	11
125	75.809165	13.500000	62.309165	600	573	0
126	71.434309	13.000000	58.434310	600	574	11
127	82.763079	18.500000	64.263079	570	533	18
128	83.751349	22.000000	61.751349	570	526	19
129	83.678623	20.999999	62.678624	600	558	13
130	89.050498	22.000000	67.050498	600	556	14
131	80.256165	16.000000	64.256165	600	568	14
132	78.918200	17.500000	61.418201	600	565	11
133	81.645959	18.499999	63.145959	600	563	13
134	76.939029	16.000000	60.939029	570	538	16
135	79.593988	16.500000	63.093988	459	426	18
136	77.108915	13.000000	64.108915	485	459	30
137	82.188010	18.000000	64.188011	513	477	26
138	83.549975	20.000000	63.549975	571	531	20
139	84.677090	17.500000	67.177090	602	567	13
140	88.482328	22.000000	66.482328	601	557	14
141	87.092410	21.500000	65.592411	572	529	21
142	89.506167	21.000000	68.506167	570	528	17
143	84.166273	19.000000	65.166272	600	562	18
144	88.497079	22.500000	65.997079	572	527	23
145	91.868927	24.000000	67.868927	600	552	18
146	84.165811	19.500000	64.665811	600	561	10
147	82.389884	18.500000	63.889883	540	503	27
148	85.866760	18.500000	67.366760	600	563	12
149	82.893008	22.000001	60.893007	600	556	13
150	85.963665	21.500000	64.463665	601	558	18
151	88.403224	21.500000	66.903224	572	529	20
152	91.137597	24.500000	66.637597	570	521	19
153	86.561940	22.500000	64.061940	543	498	21
154	92.366431	24.500000	67.866431	542	493	20
155	84.031531	19.500000	64.531531	600	561	14
156	86.047524	21.000000	65.047524	542	500	24
157	87.062134	22.000000	65.062134	481	437	24
158	85.562756	22.500000	63.062756	544	499	20
159	86.806486	22.499999	64.306487	512	467	32
160	91.780671	24.500000	67.280671	548	499	22
161	93.349720	26.000000	67.349720	574	522	22
162	88.121309	23.000000	65.121309	540	494	27
163	88.897314	24.500000	64.397314	579	530	18
164	86.064264	24.500000	61.564264	540	491	28
165	88.238289	19.500000	68.738289	576	537	18
166	100.391846	30.500000	69.891846	544	483	26
167	98.726793	28.000000	70.726793	573	517	21
168	100.978756	31.000000	69.978756	542	480	29
169	102.916314	35.000000	67.916314	579	509	20
170	98.748421	30.500000	68.248420	603	542	15
171	100.807005	32.500000	68.307005	572	507	25
172	105.558295	35.500000	70.058296	600	529	20
173	98.966523	28.500000	70.466522	600	543	14
174	95.139937	27.000000	68.139937	570	516	22
