Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	47.772509	8.5	39.272509	330.333333333	313.333333333	24.6666666667	
2	50.5471936667	10.0	40.5471936667	417.0	397.0	19.6666666667	
3	58.0559013333	24.1666663333	33.889235	405.333333333	357.0	13.6666666667	
4	57.3033326667	21.333333	35.9699996667	415.666666667	373.0	7.66666666667	
5	56.3829943333	13.6666666667	42.7163276667	496.333333333	469.0	5.66666666667	
6	57.2125673333	16.333333	40.8792336667	440.333333333	407.666666667	7.0	
7	57.044907	18.4999996667	38.5449073333	399.666666667	362.666666667	25.0	
8	58.5337466667	19.9999996667	38.533747	387.666666667	347.666666667	19.3333333333	
9	58.3375746667	15.833334	42.504241	445.333333333	413.666666667	6.0	
10	59.37352	20.6666663333	38.706854	433.0	391.666666667	11.0	
11	60.4815326667	23.6666663333	36.8148663333	481.0	433.666666667	0.0	
12	61.209027	19.833333	41.375694	491.0	451.333333333	0.0	
13	61.2893523333	21.6666666667	39.6226846667	518.333333333	475.0	0.0	
14	63.9231783333	25.6666666667	38.2565116667	557.666666667	506.333333333	0.0	
15	65.912531	26.1666673333	39.745864	525.333333333	473.0	0.0	
16	62.569218	21.8333336667	40.7358846667	534.333333333	490.666666667	0.0	
17	60.9745163333	17.1666666667	43.80785	516.333333333	482.0	0.0	
18	63.191818	21.6666666667	41.5251516667	523.333333333	480.0	0.0	
19	66.179172	26.666667	39.5125053333	575.0	521.666666667	0.0	
20	67.244079	29.4999993333	37.7440793333	506.666666667	447.666666667	0.0	
21	61.8966646667	19.5	42.3966646667	509.0	470.0	0.0	
22	62.16198	21.499999	40.6619803333	531.666666667	488.666666667	0.0	
23	58.831275	21.333333	37.497942	559.0	516.333333333	0.0	
24	67.0186276667	23.333334	43.6852936667	567.0	520.333333333	0.0	
25	63.1604133333	17.0	46.1604133333	558.0	524.0	0.0	
26	61.9638933333	22.5	39.4638933333	520.0	475.0	0.0	
27	66.565113	23.166667	43.3984463333	541.0	494.666666667	0.0	
