Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	42.285389	0.000000	42.285389	393	393	36
2	44.583869	0.000000	44.583869	506	506	22
3	62.986282	27.500000	35.486282	600	545	0
4	56.124963	29.999999	26.124964	600	540	0
5	59.478391	16.000000	43.478391	600	568	0
6	68.049308	24.999999	43.049308	600	550	0
7	59.803364	17.500000	42.303364	600	565	0
8	61.508607	20.000000	41.508607	600	560	0
9	57.861377	13.500001	44.361376	600	573	0
10	64.229207	24.500000	39.729207	600	551	0
11	60.714749	19.500000	41.214749	600	561	0
12	68.782502	25.000000	43.782502	600	550	0
13	58.220592	16.000000	42.220591	600	568	0
14	69.279052	29.000000	40.279053	600	542	0
15	64.612941	22.000001	42.612940	600	556	0
16	62.666068	17.500000	45.166068	600	565	0
17	66.773210	25.000000	41.773211	600	550	0
18	66.264538	22.500000	43.764538	600	555	0
19	62.837687	25.000000	37.837688	600	550	0
20	67.434619	25.499999	41.934619	600	549	0
21	61.801413	24.000000	37.801413	600	552	0
22	66.447937	22.999999	43.447937	600	554	0
23	53.794701	15.000000	38.794701	600	570	0
24	64.342464	25.000001	39.342463	600	550	0
25	62.654006	20.000000	42.654006	600	560	0
26	60.977947	22.000000	38.977948	600	556	0
27	59.890602	16.500000	43.390603	600	567	0
28	73.238528	33.500000	39.738528	600	533	0
29	72.483362	35.000000	37.483362	600	530	0
30	59.091973	20.000000	39.091972	600	560	0
31	64.115264	22.499999	41.615265	600	555	0
32	61.073901	22.500000	38.573901	600	555	0
33	59.272161	19.000000	40.272162	600	562	0
34	62.044371	23.500001	38.544370	600	553	0
35	61.163958	20.000000	41.163958	600	560	0
36	57.974156	16.499999	41.474156	600	567	0
37	51.909919	5.500000	46.409919	228	217	62
38	63.404482	24.999999	38.404484	600	550	0
39	59.321190	20.000001	39.321190	600	560	0
40	64.206312	21.000000	43.206312	600	558	0
41	57.952997	8.500000	49.452997	173	156	87
42	60.779123	18.000000	42.779123	600	564	0
43	56.570843	13.500000	43.070843	600	573	0
44	54.555389	15.000000	39.555389	497	467	0
45	54.456768	12.500000	41.956769	600	575	0
46	55.381731	15.500000	39.881731	600	569	0
47	65.274283	24.500000	40.774283	600	551	0
48	58.489798	17.000000	41.489798	600	566	0
49	69.920840	29.500001	40.420840	600	541	0
50	58.448620	25.000000	33.448620	600	550	0
51	62.453580	25.000000	37.453580	600	550	0
52	61.317406	25.000000	36.317406	514	464	0
53	64.797163	24.000000	40.797164	600	552	0
54	62.927045	24.500000	38.427046	600	551	0
55	55.987347	14.500000	41.487347	600	571	0
56	59.089237	20.000000	39.089237	600	560	0
57	66.098591	26.000000	40.098590	600	548	0
58	58.628964	19.000000	39.628964	600	562	0
59	70.518217	25.000000	45.518217	600	550	0
60	66.135724	23.999999	42.135725	600	552	0
61	65.686096	24.000000	41.686095	600	552	0
62	68.707347	23.000000	45.707346	600	554	0
63	63.898848	17.500000	46.398848	600	565	0
64	61.009496	19.000000	42.009496	600	562	0
65	69.536038	29.500000	40.036037	600	541	0
66	61.336697	19.500000	41.836697	600	561	0
67	62.948490	19.000000	43.948490	600	562	0
68	62.988948	19.000000	43.988948	600	562	0
69	68.135588	24.000000	44.135588	600	552	0
70	67.020574	25.999999	41.020575	600	548	0
71	64.708846	22.000001	42.708846	600	556	0
72	65.089074	25.000000	40.089074	600	550	0
73	75.349942	36.500000	38.849943	600	527	0
74	64.557785	19.500000	45.057786	600	561	0
75	71.875963	30.000000	41.875963	570	510	1
76	63.802434	19.000000	44.802434	600	562	0
77	70.279955	26.000001	44.279955	600	548	0
78	69.337747	28.000000	41.337747	600	544	0
79	68.906801	23.500000	45.406801	600	553	0
80	66.464044	17.500000	48.964044	600	565	0
81	73.755503	35.000000	38.755503	600	530	0
82	80.155598	36.000000	44.155598	600	528	0
83	69.717183	31.500000	38.217182	600	537	0
84	70.029432	25.000000	45.029432	600	550	0
85	70.770435	34.999999	35.770435	559	489	0
86	69.087256	32.500001	36.587256	600	535	0
87	73.005412	30.000000	43.005412	526	466	2
88	62.818932	18.500000	44.318932	600	563	0
89	75.617430	32.000000	43.617430	570	506	0
90	64.519786	23.000000	41.519786	600	554	0
91	67.810635	23.000001	44.810634	600	554	0
92	62.850554	25.000000	37.850554	512	462	0
93	74.166370	27.500001	46.666369	600	545	1
94	85.350237	43.999999	41.350238	600	512	0
