Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	58.398802	20.000000	38.398802	224	184	0
2	60.308371	25.000000	35.308370	438	388	0
3	61.768971	29.999999	31.768972	291	231	0
4	62.688860	25.000000	37.688860	308	258	0
5	62.379830	20.000000	42.379830	380	340	0
6	56.256563	20.000000	36.256562	323	283	0
7	63.799241	32.999999	30.799242	381	315	0
8	63.425004	29.999999	33.425005	247	187	0
9	66.278443	25.000000	41.278443	333	283	0
10	62.873446	27.000000	35.873447	311	257	0
11	68.974708	29.999999	38.974709	243	183	0
12	62.457950	22.999999	39.457951	273	227	0
13	69.575407	35.000000	34.575406	355	285	0
14	68.126584	35.000000	33.126583	473	403	0
15	70.202225	35.000000	35.202226	376	306	0
16	67.041083	30.000000	37.041083	403	343	0
17	65.908257	20.000000	45.908257	349	309	0
18	61.523743	25.000000	36.523743	370	320	0
19	71.066125	30.000000	41.066125	525	465	0
20	69.823902	39.500000	30.323902	320	241	0
21	64.112100	17.000001	47.112100	327	293	0
22	61.852681	28.499999	33.352682	395	338	0
23	67.545303	37.000000	30.545303	477	403	0
24	78.320190	34.500001	43.820189	501	432	0
25	69.101583	19.500000	49.601583	474	435	0
26	60.621175	25.500000	35.121174	360	309	0
27	74.828678	35.000000	39.828678	423	353	0
28	100.974453	60.000000	40.974453	600	480	0
29	96.037197	51.000000	45.037197	600	498	0
30	118.701574	68.499999	50.201575	600	463	0
31	115.679677	61.000000	54.679677	600	478	0
32	116.009381	68.499999	47.509382	600	463	0
33	105.039383	64.000000	41.039383	600	472	0
34	116.844707	70.500000	46.344707	600	459	0
35	125.258143	75.000001	50.258142	600	450	0
36	140.873018	98.500001	42.373018	785	588	12
37	152.866026	110.000000	42.866026	737	517	11
38	143.561649	96.499998	47.061650	794	601	9
39	147.535932	105.499999	42.035933	739	528	14
40	153.686585	114.999998	38.686587	846	616	5
41	146.475119	99.000001	47.475117	884	686	6
42	152.466818	108.000000	44.466818	771	555	10
43	155.021289	115.500002	39.521288	860	629	7
44	154.124710	113.000001	41.124709	751	525	6
45	158.537928	118.999999	39.537929	828	590	8
46	162.868465	119.999999	42.868466	871	631	8
47	150.782941	103.500000	47.282941	850	643	6
48	158.665715	117.000001	41.665714	794	560	7
49	162.903589	119.999998	42.903590	831	591	10
50	167.526938	125.000000	42.526938	868	618	8
51	168.935146	122.499999	46.435147	876	631	8
52	159.726923	114.000000	45.726923	830	602	13
53	155.115630	114.500000	40.615630	777	548	7
54	160.490614	120.499999	39.990615	962	721	1
55	163.618045	117.500001	46.118044	822	587	11
56	178.283826	137.500001	40.783825	889	614	3
57	167.039936	127.000000	40.039937	1,008	754	1
58	162.847528	122.000002	40.847527	956	712	2
59	156.777172	114.499999	42.277173	933	704	9
60	177.052187	130.000002	47.052186	883	623	10
61	165.166065	112.999998	52.166067	855	629	7
62	199.864795	149.000000	50.864795	1,007	709	6
63	207.700436	163.000000	44.700436	933	607	10
64	186.132701	142.000002	44.132699	1,074	790	2
65	164.494172	126.000000	38.494172	989	737	5
66	199.775708	156.000001	43.775707	992	680	11
67	168.182650	125.499998	42.682652	877	626	9
68	179.474459	135.000002	44.474457	901	631	8
69	193.410947	150.000001	43.410946	1,020	720	7
70	183.007241	141.499998	41.507242	972	689	8
71	180.931897	132.500002	48.431895	958	693	6
72	177.597618	128.500001	49.097617	952	695	4
73	174.763457	135.000000	39.763457	955	685	6
74	168.899306	123.499999	45.399307	852	605	12
75	180.145170	131.000001	49.145169	928	666	10
76	164.561814	122.499999	42.061816	1,009	764	6
77	180.560869	140.000001	40.560868	942	662	4
78	180.362768	132.500001	47.862767	952	687	16
79	180.885728	136.000000	44.885727	934	662	9
80	164.541610	123.000001	41.541609	954	708	8
81	170.331462	123.500001	46.831461	799	552	9
82	157.498430	105.000002	52.498428	683	473	13
83	172.475828	127.500003	44.975825	758	503	8
84	170.432659	123.500002	46.932657	747	500	10
85	160.425339	113.500000	46.925340	767	540	8
86	156.651728	112.499999	44.151729	784	559	10
87	193.064989	146.000001	47.064988	745	453	11
88	169.791771	124.999999	44.791773	813	563	3
89	174.417166	133.499999	40.917167	842	575	6
90	181.326695	136.500001	44.826694	829	556	4
91	159.453408	112.000000	47.453408	738	514	8
92	168.121395	124.000000	44.121395	804	556	5
93	145.630597	99.000001	46.630596	775	577	9
94	159.182944	116.000001	43.182944	751	519	5
95	187.696155	137.000000	50.696155	749	475	6
96	167.033831	115.500000	51.533831	697	466	9
97	151.503801	104.000001	47.503800	703	495	5
98	164.407333	117.000000	47.407333	755	521	3
99	157.433749	112.000000	45.433749	775	551	8
100	160.282627	111.499999	48.782627	754	531	6
101	174.939501	129.499999	45.439501	762	503	7
102	184.541174	136.000000	48.541174	761	489	8
103	174.616513	129.999999	44.616515	705	445	8
104	182.009631	137.000000	45.009630	720	446	9
105	182.303870	135.500001	46.803870	721	450	9
106	169.555700	121.999999	47.555701	704	460	11
107	178.784732	128.000002	50.784730	658	402	11
108	186.913120	138.499999	48.413121	739	462	11
109	179.075430	126.000001	53.075430	683	431	13
110	178.772718	130.000002	48.772716	580	320	16
111	166.030399	119.000000	47.030399	691	453	9
