Generation	Fitness	Shooting fitness	Aiming fitness	Shots	Misses	Wrong reloads
1	41.323531	1.000000	40.323531	62	60	31
2	43.808487	3.000000	40.808487	488	482	10
3	45.050700	3.000000	42.050699	543	537	7
4	47.946879	5.000000	42.946879	577	567	13
5	50.097177	6.000000	44.097177	515	503	13
6	46.957530	1.000000	45.957530	26	24	79
7	48.951715	6.000000	42.951715	514	502	5
8	50.456109	6.000000	44.456109	607	595	9
9	46.251906	4.000000	42.251906	513	505	14
10	47.391314	0.500000	46.891314	34	33	37
11	46.897962	5.500000	41.397962	547	536	14
12	44.493352	2.000000	42.493352	457	453	20
13	46.138395	3.500000	42.638395	646	639	4
14	46.599373	3.000000	43.599373	603	597	5
15	48.763714	5.500000	43.263714	641	630	6
16	47.472974	5.000000	42.472974	569	559	21
17	49.969978	9.000000	40.969978	551	533	13
18	47.266334	3.000000	44.266334	604	598	8
19	49.553344	4.500000	45.053344	535	526	0
20	48.631317	4.500000	44.131317	621	612	9
21	55.864464	9.000000	46.864463	526	508	1
22	54.781719	5.000000	49.781719	503	493	0
23	49.072656	8.000000	41.072656	527	511	16
24	49.834628	5.000000	44.834628	550	540	2
25	47.464838	6.500000	40.964838	570	557	2
26	47.710102	3.500000	44.210102	575	568	12
27	48.943561	3.000000	45.943561	552	546	5
28	47.915796	4.500000	43.415796	501	492	1
29	49.562007	6.000000	43.562006	607	595	12
30	48.238613	3.500000	44.738613	547	540	7
31	51.307075	4.000000	47.307075	579	571	3
32	49.469623	3.000000	46.469623	469	463	9
33	52.728990	7.000000	45.728990	578	564	5
34	48.989754	4.500000	44.489754	548	539	13
35	51.327248	5.500000	45.827248	555	544	7
36	50.031807	8.500001	41.531806	579	562	0
37	53.085805	13.000000	40.085805	306	280	14
38	53.818251	7.500000	46.318251	393	378	18
39	49.757844	5.000000	44.757844	566	556	6
40	49.362368	4.500000	44.862368	578	569	7
41	52.412865	10.000000	42.412865	387	367	13
42	50.045736	5.500001	44.545735	575	564	9
43	50.249669	3.500000	46.749669	578	571	1
44	50.504829	6.500000	44.004829	532	519	0
45	51.472780	4.500000	46.972780	529	520	3
46	49.204630	0.000000	49.204630	16	16	47
47	55.584997	0.500000	55.084997	65	64	43
48	48.789083	4.500000	44.289084	271	262	33
49	52.932008	5.000001	47.932007	540	530	1
50	47.988172	4.000000	43.988172	633	625	8
51	59.141765	12.500000	46.641765	367	342	14
52	61.155510	8.500000	52.655510	422	405	25
53	55.119904	8.000000	47.119904	207	191	49
54	50.508745	6.500000	44.008745	216	203	50
55	55.412864	8.500000	46.912864	393	376	11
56	52.007978	8.000000	44.007978	457	441	9
57	55.354970	8.000000	47.354970	306	290	17
58	56.556949	7.500000	49.056949	219	204	52
59	50.391031	6.999999	43.391031	600	586	1
60	54.576659	8.500000	46.076659	420	403	2
61	54.191771	6.500000	47.691771	578	565	8
62	51.259601	10.000000	41.259601	368	348	7
63	51.433107	5.500000	45.933107	611	600	6
64	58.087723	9.000000	49.087723	426	408	6
65	54.869778	8.000001	46.869777	588	572	5
66	50.594499	4.000000	46.594499	552	544	4
67	49.917707	4.500000	45.417707	553	544	5
68	53.790412	9.500000	44.290411	577	558	12
69	55.906450	10.000000	45.906450	380	360	10
70	52.594103	11.500000	41.094103	364	341	1
71	52.741723	8.500000	44.241722	348	331	11
72	51.186683	7.000000	44.186683	194	180	84
73	62.772022	8.000000	54.772022	416	400	36
74	52.401657	6.500000	45.901657	550	537	4
75	50.425363	3.500000	46.925363	552	545	2
76	51.462333	3.500000	47.962333	482	475	0
77	51.602395	7.500000	44.102395	591	576	18
78	49.627436	3.000000	46.627436	366	360	8
79	54.297902	10.000000	44.297902	390	370	8
80	54.680233	5.500000	49.180233	433	422	10
81	55.469971	7.500000	47.969971	334	319	23
82	52.375276	6.000000	46.375276	428	416	6
83	54.305459	8.500000	45.805459	584	567	2
84	57.258112	9.000000	48.258112	549	531	12
85	57.588256	10.000000	47.588256	391	371	12
86	49.800250	4.500000	45.300250	549	540	10
87	52.729381	4.500000	48.229381	401	392	11
88	52.567831	4.000000	48.567831	545	537	13
89	53.749571	8.500000	45.249571	373	356	11
90	50.971965	3.000000	47.971965	370	364	19
91	48.830400	7.500000	41.330400	611	596	11
92	56.809188	6.500000	50.309189	359	346	14
93	54.695758	8.000000	46.695759	605	589	7
94	50.970679	7.000000	43.970679	547	533	11
95	51.734024	5.500000	46.234024	557	546	4
96	52.056947	7.000000	45.056947	500	486	14
97	49.831072	4.000000	45.831072	550	542	9
98	54.689335	2.500000	52.189335	334	329	60
99	52.225310	7.000000	45.225310	568	554	12
100	51.177416	6.500000	44.677416	551	538	10
101	56.136893	11.500000	44.636893	388	365	9
102	52.072037	6.500000	45.572037	606	593	3
103	52.551071	6.500000	46.051071	617	604	3
104	51.758153	6.500000	45.258153	350	337	4
105	51.920871	6.500000	45.420871	281	268	32
106	51.268525	4.500000	46.768525	414	405	37
107	62.298757	9.000000	53.298757	424	406	20
108	56.487725	8.000000	48.487725	388	372	37
109	52.471832	8.500000	43.971832	603	586	11
110	50.883399	6.000000	44.883399	342	330	9
111	51.376149	6.500000	44.876149	577	564	12
112	52.326355	8.000000	44.326356	520	504	25
113	53.989986	8.000000	45.989986	353	337	15
114	53.637083	5.000000	48.637083	416	406	39
115	51.446857	3.000000	48.446857	278	272	67
116	50.005490	2.500000	47.505490	374	369	47
117	51.700734	7.500000	44.200734	251	236	24
118	50.722995	4.500000	46.222995	561	552	16
119	54.282094	7.000000	47.282094	581	567	10
120	59.190486	11.500000	47.690486	428	405	7
121	54.040605	7.500000	46.540606	578	563	13
122	55.433880	11.000000	44.433880	605	583	15
123	55.631986	11.500000	44.131986	384	361	13
124	51.590438	6.500000	45.090438	396	383	55
125	56.004534	8.000000	48.004534	493	477	35
126	53.679354	5.500000	48.179354	359	348	20
127	55.236560	7.500000	47.736560	320	305	13
128	54.236152	6.500000	47.736152	372	359	17
129	49.617675	5.500000	44.117675	700	689	7
130	56.034664	5.000000	51.034664	380	370	30
131	57.124082	11.000000	46.124082	556	534	36
132	50.518650	6.000000	44.518651	669	657	23
133	54.643522	5.500000	49.143522	299	288	22
134	55.291950	3.000000	52.291950	335	329	39
135	52.320229	6.000000	46.320229	531	519	0
136	57.983799	10.000000	47.983799	380	360	15
137	56.208556	11.500000	44.708556	776	753	12
138	56.268734	11.000000	45.268734	907	885	13
139	58.485816	9.000000	49.485816	436	418	12
140	54.165258	7.500000	46.665258	537	522	35
141	53.366287	9.000000	44.366287	339	321	16
142	55.036194	10.999999	44.036194	801	779	22
143	57.658194	13.000000	44.658194	863	837	11
144	51.533125	7.000000	44.533125	283	269	14
145	51.398395	8.000000	43.398395	797	781	15
146	61.492049	9.000000	52.492049	359	341	21
147	54.804253	6.500000	48.304253	639	626	30
148	52.439885	9.500000	42.939885	810	791	8
149	56.754016	11.000000	45.754016	571	549	26
150	55.507048	10.000000	45.507048	864	844	17
151	56.842774	8.500001	48.342773	813	796	29
152	58.929460	12.500000	46.429459	769	744	26
153	55.185074	8.000000	47.185074	872	856	15
154	55.383206	8.500000	46.883206	423	406	23
155	61.018835	14.000000	47.018835	733	705	21
156	57.358075	10.000000	47.358075	651	631	38
157	57.842981	11.000000	46.842981	639	617	28
158	55.829771	5.500000	50.329771	393	382	26
159	57.119604	12.500000	44.619604	714	689	32
160	62.280262	12.000000	50.280261	724	700	24
161	55.004323	9.999999	45.004324	613	593	40
162	56.773048	12.000000	44.773048	674	650	28
163	56.215246	9.500000	46.715246	836	817	23
164	58.700824	13.500000	45.200823	387	360	19
165	55.289434	9.000000	46.289434	500	482	13
166	59.350518	13.000000	46.350518	541	515	30
167	65.443328	18.500000	46.943328	760	723	26
168	54.077851	7.500000	46.577851	603	588	31
169	56.549909	8.500000	48.049909	379	362	17
170	58.832268	12.000000	46.832267	758	734	20
171	58.483073	11.000000	47.483073	606	584	29
172	59.997354	10.000000	49.997354	486	466	34
173	61.265912	14.999999	46.265913	676	646	22
174	61.529906	13.500000	48.029906	699	672	21
175	61.285466	11.500000	49.785466	605	582	22
176	56.990037	8.500000	48.490037	651	634	17
177	55.794898	7.000000	48.794898	595	581	34
178	63.522575	12.000000	51.522575	365	341	52
179	74.191824	23.500001	50.691823	493	446	41
180	73.999044	24.000000	49.999044	438	390	37
181	75.857561	26.999999	48.857562	482	428	41
182	73.513554	23.499999	50.013555	453	406	33
183	78.742541	25.000000	53.742541	536	486	35
184	83.391495	29.500000	53.891495	488	429	34
185	80.026961	28.000001	52.026961	494	438	40
186	81.750031	31.500000	50.250031	497	434	38
187	82.842412	32.500000	50.342412	452	387	41
188	78.317025	26.500000	51.817025	476	423	33
189	79.337005	27.499999	51.837006	565	510	26
190	77.455285	25.500000	51.955286	460	409	28
191	80.381951	26.500000	53.881951	484	431	28
192	77.758759	29.500000	48.258759	473	414	42
193	78.686942	26.000000	52.686942	532	480	26
194	86.149893	31.500000	54.649893	541	478	28
195	79.847868	26.000000	53.847868	461	409	37
196	80.075837	26.000000	54.075837	500	448	36
197	87.614510	30.499999	57.114511	582	521	23
198	89.590901	33.500000	56.090902	562	495	26
199	78.146673	25.000000	53.146673	393	343	43
200	79.013399	25.999999	53.013399	540	488	28
201	85.164983	29.999999	55.164984	547	487	34
202	77.172267	23.500001	53.672266	437	390	26
203	89.304518	33.000000	56.304518	546	480	35
204	86.151533	31.000001	55.151533	581	519	29
205	84.682487	32.500000	52.182488	539	474	33
206	88.343244	31.000000	57.343244	554	492	23
207	84.479926	28.500000	55.979926	644	587	12
208	84.925721	30.500000	54.425721	561	500	29
209	87.981670	32.499999	55.481671	552	487	33
210	81.609627	27.500000	54.109628	610	555	25
211	87.888489	33.500000	54.388489	836	769	17
212	96.555501	38.499998	58.055502	856	779	15
213	99.841914	42.000001	57.841913	866	782	19
214	93.081986	37.500000	55.581986	889	814	15
215	88.146762	27.500000	60.646762	728	673	5
216	82.035662	29.499999	52.535663	737	678	15
217	85.527787	32.500001	53.027786	793	728	19
218	85.751976	31.500000	54.251977	813	750	21
219	91.068028	35.000001	56.068027	843	773	17
220	89.004329	36.500000	52.504329	805	732	18
221	93.498181	35.499999	57.998182	885	814	16
222	91.541800	34.500000	57.041800	845	776	14
223	88.628890	31.499999	57.128891	847	784	7
224	96.688575	39.500001	57.188574	793	714	17
225	81.966703	27.500000	54.466704	789	734	28
226	86.871662	35.500001	51.371661	662	591	38
227	90.370433	31.500000	58.870433	840	777	3
228	88.375134	28.500000	59.875135	775	718	4
229	89.215308	30.500000	58.715308	796	735	11
230	87.026126	30.500000	56.526126	850	789	9
231	78.203319	25.499999	52.703319	791	740	19
232	86.753751	33.000001	53.753750	779	713	17
233	86.473561	31.000000	55.473561	853	791	19
234	86.837569	33.500000	53.337569	855	788	16
235	83.117331	32.000000	51.117331	780	716	38
236	84.900414	28.500000	56.400414	844	787	15
237	86.607675	29.000000	57.607675	752	694	35
238	83.381571	30.500000	52.881570	812	751	28
239	86.941627	34.000000	52.941627	830	762	23
240	86.049536	30.000000	56.049536	755	695	33
241	91.957569	38.999999	52.957570	884	806	16
242	89.626646	32.000000	57.626646	861	797	7
243	88.252427	34.000000	54.252427	729	661	36
244	88.138971	34.000001	54.138970	810	742	14
245	83.953215	28.500000	55.453215	722	665	33
246	88.610355	30.499999	58.110356	801	740	13
247	94.696545	36.000000	58.696546	908	836	14
248	86.749897	31.000000	55.749896	787	725	23
249	97.135347	39.500000	57.635348	829	750	20
250	85.988313	32.000000	53.988313	799	735	26
251	86.936618	31.500000	55.436618	791	728	25
252	87.735843	31.000000	56.735843	626	564	38
253	92.182733	34.499999	57.682734	764	695	23
254	92.679878	35.000001	57.679877	649	579	26
255	91.752509	34.000000	57.752509	785	717	17
256	92.369236	34.500000	57.869236	631	562	36
257	92.075122	33.500000	58.575122	733	666	22
258	89.388248	32.999999	56.388249	772	706	18
259	87.925133	29.000000	58.925133	723	665	29
260	88.495235	31.500000	56.995235	717	654	19
261	93.474397	35.000000	58.474397	716	646	28
262	90.383151	31.999999	58.383151	699	635	16
263	96.174653	34.000000	62.174653	813	745	17
264	98.296917	36.999999	61.296918	694	620	28
265	91.642325	34.000000	57.642326	705	637	25
266	91.424500	33.000000	58.424500	769	703	17
267	97.540402	36.000001	61.540402	798	726	20
268	88.714425	28.500000	60.214425	751	694	27
269	89.597274	34.500000	55.097274	784	715	20
270	90.500048	34.000000	56.500048	787	719	20
271	91.513371	35.500000	56.013371	788	717	26
272	93.499808	38.500000	54.999807	753	676	26
273	89.794092	33.000001	56.794092	1,009	943	7
274	93.115477	38.000000	55.115477	802	726	21
275	91.105825	36.500000	54.605825	735	662	31
276	93.359107	37.000000	56.359106	739	665	33
277	96.349872	39.500000	56.849872	922	843	9
278	89.914763	32.500000	57.414763	677	612	41
279	98.473702	39.000000	59.473702	805	727	12
280	92.905347	36.999999	55.905348	660	586	34
281	91.750410	37.500000	54.250410	790	715	27
282	90.741743	42.000000	48.741742	508	424	3
283	90.113019	37.499999	52.613019	815	740	23
284	90.144515	39.500001	50.644514	431	352	2
285	92.641962	33.499999	59.141962	787	720	22
286	92.713185	40.500000	52.213185	404	323	4
287	98.094775	38.500001	59.594774	752	675	25
288	92.416079	35.000001	57.416078	876	806	18
289	100.009731	49.000000	51.009731	491	393	3
290	93.344500	35.500000	57.844499	802	731	19
