Generation	Fitness	ShootingFitness	AimingFitness	Shots	Misses	WrongReloads
1	47.240072	3.500000	43.740072	556	549	1
2	48.055442	3.000000	45.055442	572	566	3
3	47.146913	2.500000	44.646913	554	549	2
4	48.595892	4.500000	44.095892	598	589	1
5	47.110323	2.500000	44.610323	598	593	0
6	48.542101	4.000000	44.542101	587	579	0
7	49.904657	5.500000	44.404657	585	574	0
8	48.327656	0.500000	47.827656	391	390	31
9	48.300110	1.000000	47.300110	391	389	17
10	49.275886	3.500000	45.775886	480	473	20
11	48.363018	3.000000	45.363018	584	578	4
12	49.644357	5.500000	44.144357	596	585	0
13	49.269683	4.000000	45.269683	582	574	2
14	48.862318	6.500000	42.362318	601	588	1
15	50.633555	3.500000	47.133555	577	570	0
16	50.627853	5.000001	45.627852	600	590	0
17	49.304962	3.500000	45.804962	594	587	0
18	47.702268	1.000000	46.702268	332	330	53
19	48.919058	3.500000	45.419059	600	593	0
20	48.339757	3.500000	44.839757	592	585	0
21	51.136826	3.500000	47.636825	461	454	12
22	51.470997	3.500000	47.970997	589	582	0
23	49.927469	5.000000	44.927469	587	577	0
24	49.922231	3.000000	46.922230	591	585	0
25	50.198241	4.500000	45.698241	588	579	0
26	53.600734	5.000000	48.600734	588	578	0
27	49.624935	3.500000	46.124935	600	593	0
28	49.704699	2.500000	47.204699	532	527	0
29	47.896592	3.000000	44.896592	594	588	0
30	48.533840	1.500000	47.033840	609	606	0
31	49.063302	5.000000	44.063302	666	656	0
32	50.030664	5.500000	44.530664	637	626	0
33	47.959384	2.500000	45.459383	272	267	31
34	49.851758	4.500000	45.351759	651	642	0
35	49.883510	4.500000	45.383510	685	676	0
36	50.293193	8.500000	41.793193	600	583	4
37	49.212578	7.000000	42.212578	662	648	0
38	50.274672	7.000000	43.274672	662	648	0
39	50.144918	7.000000	43.144918	685	671	0
40	49.301807	4.500000	44.801807	683	674	3
41	49.018671	5.000000	44.018671	723	713	0
42	50.024070	4.500000	45.524069	713	704	0
43	53.167348	2.500000	50.667348	452	447	26
44	47.926234	0.500000	47.426234	403	402	37
45	49.873226	6.500000	43.373225	544	531	12
46	51.024284	6.500000	44.524284	512	499	16
47	52.102946	4.500000	47.602946	539	530	15
48	52.551511	8.500000	44.051511	782	765	1
49	55.962780	10.000000	45.962780	749	729	20
50	58.574618	11.999999	46.574619	793	769	37
51	54.878385	9.000001	45.878385	760	742	16
52	57.261216	12.000000	45.261216	646	622	20
53	60.119971	10.500000	49.619971	692	671	22
54	55.401813	9.000000	46.401813	732	714	15
55	53.616329	7.500000	46.116330	764	749	22
56	60.784624	12.499999	48.284625	736	711	30
57	59.738488	14.000001	45.738488	817	789	44
58	56.749535	11.000001	45.749534	846	824	43
