Generation	Fitness	Shooting fitness	Aiming fitness
1	47.432671	2.000000	45.432671
2	49.725975	2.000000	47.725975
3	48.747880	0.000000	48.747880
4	57.368154	5.500000	51.868154
5	67.873993	12.000000	55.873993
6	59.093530	7.500000	51.593530
7	66.137854	8.000000	58.137854
8	67.318015	11.500000	55.818015
9	77.131293	15.500000	61.631293
10	72.086469	16.000000	56.086469
11	71.334216	11.500000	59.834216
12	73.071946	16.500000	56.571946
13	77.423734	16.500000	60.923734
14	70.916594	14.000000	56.916594
15	71.903787	15.500000	56.403787
16	75.505778	16.500000	59.005778
17	75.340736	14.000000	61.340736
18	76.916960	16.000000	60.916960
19	77.427588	19.500000	57.927588
20	76.032870	15.000000	61.032870
21	74.271315	13.500000	60.771315
22	75.370704	12.500000	62.870704
23	80.045180	18.500000	61.545180
24	74.465529	17.000000	57.465530
25	80.080672	17.000000	63.080672
26	76.290433	16.500000	59.790433
27	78.821924	17.500000	61.321924
28	78.789036	18.500000	60.289036
29	79.294132	17.500000	61.794132
30	99.915118	30.500000	69.415118
31	85.584912	23.000000	62.584912
32	85.678954	22.500000	63.178954
33	86.233098	23.000000	63.233098
34	79.172223	19.000000	60.172223
35	89.328894	25.500000	63.828894
36	85.755682	22.500000	63.255682
37	88.927291	22.500000	66.427291
38	78.845335	20.500000	58.345335
39	81.821830	21.000000	60.821830
40	86.327993	22.500000	63.827993
41	79.573069	18.000000	61.573069
42	81.567732	21.000000	60.567732
43	83.055889	22.000000	61.055889
44	84.997518	25.000000	59.997518
45	85.027919	26.500000	58.527919
46	85.224596	21.000000	64.224596
47	85.639332	22.500000	63.139332
48	83.053984	20.500000	62.553984
49	95.684098	29.500000	66.184098
50	88.262113	26.500001	61.762113
51	91.548538	28.000000	63.548538
52	91.011620	27.500000	63.511620
53	97.516155	29.500000	68.016155
54	89.845181	22.000000	67.845181
55	85.302031	23.500000	61.802031
56	89.257379	22.000000	67.257379
57	90.094175	22.500000	67.594175
58	88.433079	22.500000	65.933079
59	89.978562	22.500000	67.478562
60	93.374835	28.500000	64.874835
61	100.476444	31.000000	69.476444
62	93.524501	27.500000	66.024501
63	93.663624	27.000000	66.663624
64	95.036679	30.000000	65.036679
65	91.162678	27.500000	63.662678
66	96.711736	30.000000	66.711736
67	88.504718	21.500000	67.004718
68	96.835931	26.000000	70.835931
69	97.531680	30.000000	67.531680
70	87.045719	22.000000	65.045719
71	91.791097	26.500000	65.291097
72	93.224564	29.500000	63.724564
73	92.576615	27.500000	65.076615
74	90.576272	28.000000	62.576272
75	90.763423	27.000001	63.763422
76	90.072794	26.500000	63.572794
77	96.313644	27.000000	69.313643
78	91.074657	23.000000	68.074657
79	96.254887	29.000000	67.254887
80	89.667302	27.500000	62.167302
81	92.679060	25.000000	67.679060
82	90.789429	23.000000	67.789429
83	95.890023	30.000000	65.890023
84	96.926913	36.000000	60.926913
85	98.109726	37.500000	60.609726
86	95.312804	32.500000	62.812804
87	98.514754	31.499999	67.014755
88	96.316005	31.000000	65.316005
89	106.186714	39.500001	66.686714
90	98.461581	35.000000	63.461581
91	95.128245	34.000000	61.128245
92	100.392388	35.000000	65.392388
93	94.634966	32.500000	62.134966
94	97.967755	27.000000	70.967754
95	103.274224	36.000000	67.274224
96	92.879601	23.000000	69.879601
97	99.496986	39.000000	60.496986
98	104.883832	36.000001	68.883831
99	95.054052	26.000000	69.054052
100	100.312764	31.000000	69.312764
101	99.255687	31.000001	68.255687
102	101.159330	37.999999	63.159332
103	98.320047	28.999999	69.320048
104	102.653404	37.000000	65.653404
105	96.965975	29.500000	67.465975
106	100.848258	35.000000	65.848259
107	99.381253	30.499999	68.881254
108	103.126961	32.000001	71.126961
109	101.825050	32.500000	69.325051
110	104.416154	33.000000	71.416155
111	104.859523	33.000000	71.859523
112	106.577121	35.000000	71.577121
113	108.042295	37.999999	70.042296
114	107.823745	36.500000	71.323744
115	103.709903	33.000000	70.709903
116	105.445554	34.000000	71.445554
117	106.043749	35.000000	71.043749
118	104.756682	34.000000	70.756682
119	109.839632	37.000000	72.839632
120	107.433825	36.500000	70.933825
121	109.252771	37.500000	71.752771
122	109.605408	39.000000	70.605408
123	108.197359	36.500000	71.697359
124	110.789444	39.000000	71.789443
125	105.854140	34.500000	71.354140
126	108.517709	36.499999	72.017710
127	114.214153	42.999999	71.214155
128	109.954140	37.999999	71.954141
129	113.366878	40.999999	72.366879
130	121.012466	57.499998	63.512468
131	124.038876	61.000000	63.038876
132	132.247780	71.000000	61.247779
133	127.300734	64.500000	62.800734
134	135.827235	77.000000	58.827235
135	131.125771	71.000001	60.125771
136	144.212093	84.500001	59.712092
137	141.724418	81.500000	60.224418
138	139.236782	75.000001	64.236781
139	145.284839	83.000000	62.284839
140	144.756904	81.500000	63.256903
141	144.350379	79.499999	64.850380
142	143.382156	80.500002	62.882155
143	142.551755	80.500002	62.051753
144	146.931410	84.500001	62.431410
145	144.975049	82.500000	62.475049
146	151.177631	84.499999	66.677632
147	151.032564	85.000001	66.032563
148	152.287649	85.000001	67.287648
149	150.814498	84.499999	66.314499
150	153.813250	88.000002	65.813248
151	152.537859	88.000000	64.537859
152	154.613027	86.000000	68.613027
153	157.989731	90.999998	66.989733
154	151.630436	85.500001	66.130435
155	163.436989	98.000001	65.436988
156	154.435926	87.500001	66.935925
157	154.400559	89.000001	65.400558
158	160.278431	94.499999	65.778432
159	159.000657	91.999997	67.000660
160	158.111289	91.500001	66.611289
161	162.701809	94.500000	68.201809
162	159.852212	93.500001	66.352211
163	161.498933	95.499999	65.998934
164	165.946210	99.000000	66.946211
165	225.012307	162.000000	63.012306
166	234.980552	174.500001	60.480551
167	308.797275	254.500001	54.297275
168	320.360805	268.500000	51.860805
169	317.307162	264.500001	52.807162
170	357.209509	297.999999	59.209510
171	319.086218	265.000001	54.086217
172	328.500459	274.499997	54.000463
173	339.680011	286.000001	53.680010
174	319.996495	264.499998	55.496497
175	354.168035	296.000000	58.168036
176	352.465807	292.999999	59.465807
177	328.762209	275.000003	53.762207
178	338.254265	283.500002	54.754263
179	322.229189	268.500001	53.729188
180	339.114689	283.499996	55.614693
181	331.647180	277.500001	54.147179
182	325.231262	270.999999	54.231264
183	332.498733	280.999998	51.498735
184	341.110026	284.500000	56.610026
185	346.737328	294.499997	52.237331
186	345.778580	287.500000	58.278580
187	371.583966	314.999995	56.583970
188	369.401819	315.000001	54.401818
